السؤال,الإجابة
ما هي ساعات العمل الرسمية؟,ساعات العمل الرسمية من الأحد إلى الخميس من الساعة 9 صباحًا حتى 5 مساءً.
كيف يمكنني استعادة كلمة المرور الخاصة بي؟,يمكنك استعادة كلمة المرور من خلال النقر على 'نسيت كلمة المرور' في صفحة تسجيل الدخول.
هل يمكنني إلغاء طلبي بعد الشراء؟,نعم، يمكنك الإلغاء خلال 24 ساعة من إتمام الطلب عبر صفحة الطلبات.
ما هي طرق الدفع المتاحة؟,نقبل الدفع بالبطاقات الائتمانية، باي بال، والدفع عند الاستلام.
كيف يمكنني التواصل مع خدمة العملاء؟,يمكنك التواصل معنا عبر البريد الإلكتروني أو رقم خدمة العملاء الموضح في الموقع.
هل الشحن مجاني لجميع المناطق؟,الشحن مجاني للطلبات التي تتجاوز 500 جنيه، وأقل من ذلك يُضاف رسوم شحن بسيطة.
كم يستغرق توصيل الطلب؟,يستغرق التوصيل عادة من 2 إلى 5 أيام عمل حسب موقعك.
هل يمكنني استرجاع المنتج بعد الشراء؟,نعم، يمكنك استرجاع المنتج خلال 14 يومًا من استلامه بشرط عدم استخدامه.
ما هي سياسة الخصوصية الخاصة بكم؟,نلتزم بحماية خصوصيتك وعدم مشاركة بياناتك مع أي طرف ثالث دون إذنك.
كيف يمكنني تتبع طلبي؟,يمكنك تتبع الطلب من خلال صفحة 'تتبع الطلب' بإدخال رقم الطلب.
هل تقدمون خصومات للعملاء الجدد؟,نعم، نقدم خصم 10% على أول طلب للعميل الجديد.
هل يمكنني الدفع عند الاستلام؟,نعم، يمكن الدفع عند الاستلام في معظم المناطق داخل الدولة.
ما هي الدول التي تشحنون إليها؟,نقوم بالشحن إلى جميع الدول العربية حاليًا.
هل يمكنني تعديل عنوان الشحن بعد الطلب؟,يمكن تعديل العنوان خلال أول 12 ساعة من تنفيذ الطلب.
كيف يمكنني إلغاء اشتراكي في النشرة البريدية؟,يمكنك إلغاء الاشتراك بالنقر على رابط 'إلغاء الاشتراك' في أي رسالة بريدية.
هل يتم تأكيد الطلب عبر البريد الإلكتروني؟,نعم، يتم إرسال تأكيد الطلب مباشرة إلى بريدك الإلكتروني بعد الشراء.
هل يوجد ضمان على المنتجات؟,جميع المنتجات تأتي مع ضمان لمدة عام واحد ضد عيوب الصناعة.
كيف يمكنني تقديم شكوى؟,يمكنك تقديم شكوى عبر نموذج التواصل في صفحة 'اتصل بنا'.
هل الأسعار تشمل الضريبة؟,نعم، الأسعار تشمل ضريبة القيمة المضافة.
هل يمكنني شراء المنتجات بالجملة؟,نعم، نقدم أسعارًا خاصة عند الشراء بالجملة، تواصل مع فريق المبيعات للمزيد.
